Geo_FIPS,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_BTTR,Geo_BTBG,Geo_AREALAND,Geo_AREAWATR,ACS19_5yr_B25003001,ACS19_5yr_B25003002,ACS19_5yr_B25003003,ACS19_5yr_B25003001s,ACS19_5yr_B25003002s,ACS19_5yr_B25003003s
"06001400100","Census Tract 4001","Census Tract 4001, Alameda County, California","ca","140","00","ACSSF","0002700",,,,,"06","001",,,,"400100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06001400100",,,"6894339","0",1293,1150,143,33.93939,52.72727,39.39394
"06001400200","Census Tract 4002","Census Tract 4002, Alameda County, California","ca","140","00","ACSSF","0002701",,,,,"06","001",,,,"400200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06001400200",,,"586559","0",847,525,322,30.90909,30.90909,30.90909
"06001400300","Census Tract 4003","Census Tract 4003, Alameda County, California","ca","140","00","ACSSF","0002702",,,,,"06","001",,,,"400300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06001400300",,,"1105851","0",2441,1014,1427,81.21212,91.51515,121.2121
"06001400400","Census Tract 4004","Census Tract 4004, Alameda County, California","ca","140","00","ACSSF","0002703",,,,,"06","001",,,,"400400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06001400400",,,"715630","0",1802,738,1064,58.78788,60.60606,69.09091
"06001400500","Census Tract 4005","Census Tract 4005, Alameda County, California","ca","140","00","ACSSF","0002704",,,,,"06","001",,,,"400500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06001400500",,,"590297","0",1606,638,968,47.87879,55.15152,63.63636
"06001400600","Census Tract 4006","Census Tract 4006, Alameda County, California","ca","140","00","ACSSF","0002705",,,,,"06","001",,,,"400600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06001400600",,,"297856","0",673,285,388,32.12121,37.57576,40.60606
"06001400700","Census Tract 4007","Census Tract 4007, Alameda County, California","ca","140","00","ACSSF","0002706",,,,,"06","001",,,,"400700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06001400700",,,"880302","0",1951,728,1223,60,75.15151,84.24242
"06001400800","Census Tract 4008","Census Tract 4008, Alameda County, California","ca","140","00","ACSSF","0002707",,,,,"06","001",,,,"400800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06001400800",,,"696220","0",1652,668,984,69.69697,75.75758,89.69697
"06001400900","Census Tract 4009","Census Tract 4009, Alameda County, California","ca","140","00","ACSSF","0002708",,,,,"06","001",,,,"400900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06001400900",,,"420877","0",1078,385,693,61.21212,55.75758,70.30303
"06001401000","Census Tract 4010","Census Tract 4010, Alameda County, California","ca","140","00","ACSSF","0002709",,,,,"06","001",,,,"401000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06001401000",,,"1144320","0",2470,855,1615,91.51515,103.6364,125.4545
