Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_QName,Geo_FIPS,Geo_AREALAND,Geo_AREAWATR,Geo_PLACESE,Geo_ZCTA3,ACS23_5yr_B25001001,ACS23_5yr_B25001001s,ACS23_5yr_B25003001,ACS23_5yr_B25003002,ACS23_5yr_B25003003,ACS23_5yr_B25003001s,ACS23_5yr_B25003002s,ACS23_5yr_B25003003s,ACS23_5yr_B25008001,ACS23_5yr_B25008002,ACS23_5yr_B25008003,ACS23_5yr_B25008001s,ACS23_5yr_B25008002s,ACS23_5yr_B25008003s,ACS23_5yr_B25008B001,ACS23_5yr_B25008B002,ACS23_5yr_B25008B003,ACS23_5yr_B25008B001s,ACS23_5yr_B25008B002s,ACS23_5yr_B25008B003s,ACS23_5yr_B25008D001,ACS23_5yr_B25008D002,ACS23_5yr_B25008D003,ACS23_5yr_B25008D001s,ACS23_5yr_B25008D002s,ACS23_5yr_B25008D003s,ACS23_5yr_B25008H001,ACS23_5yr_B25008H002,ACS23_5yr_B25008H003,ACS23_5yr_B25008H001s,ACS23_5yr_B25008H002s,ACS23_5yr_B25008H003s,ACS23_5yr_B25008I001,ACS23_5yr_B25008I002,ACS23_5yr_B25008I003,ACS23_5yr_B25008I001s,ACS23_5yr_B25008I002s,ACS23_5yr_B25008I003s
"ACSSF","ca","140","00",,,,"06","037",,,"101110",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06037101110","Census Tract 1011.10",,,"Census Tract 1011.10, Los Angeles County, California","06037101110","1142401","0",,,1679,58.18182,1558,798,760,76.36364,72.12122,86.06061,4056,2204,1852,267.2727,272.1212,247.8788,80,0,80,52.72727,8.484848,52.72727,187,66,121,90.30303,55.15152,72.72727,2241,1587,654,232.1212,253.3333,146.6667,1445,409,1036,194.5455,135.7576,190.9091
"ACSSF","ca","140","00",,,,"06","037",,,"101122",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06037101122","Census Tract 1011.22",,,"Census Tract 1011.22, Los Angeles County, California","06037101122","2644045","0",,,1452,103.0303,1407,1096,311,100.6061,50.90909,103.6364,4196,3098,1098,516.3636,253.3333,492.7273,15,15,0,13.93939,13.93939,8.484848,459,459,0,101.2121,101.2121,8.484848,3201,2288,913,509.0909,206.0606,475.1515,307,227,80,81.21212,75.75758,60
"ACSSF","ca","140","00",,,,"06","037",,,"101220",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06037101220","Census Tract 1012.20",,,"Census Tract 1012.20, Los Angeles County, California","06037101220","698886","0",,,1380,122.4242,1357,596,761,121.8182,109.697,100,3434,1574,1860,270.303,276.9697,296.3636,0,0,0,8.484848,8.484848,8.484848,483,329,154,141.8182,125.4545,77.57576,1436,663,773,140.6061,134.5455,130.303,1376,507,869,267.8788,189.697,246.6667
"ACSSF","ca","140","00",,,,"06","037",,,"101221",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06037101221","Census Tract 1012.21",,,"Census Tract 1012.21, Los Angeles County, California","06037101221","354178","0",,,1569,171.5152,1483,329,1154,172.7273,77.57576,169.0909,3848,761,3087,374.5454,159.3939,386.0606,84,24,60,41.81818,25.45455,33.93939,257,183,74,112.7273,87.27273,70.30303,1942,423,1519,365.4546,132.1212,366.0606,1502,131,1371,306.0606,87.27273,282.4243
"ACSSF","ca","140","00",,,,"06","037",,,"101222",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06037101222","Census Tract 1012.22",,,"Census Tract 1012.22, Los Angeles County, California","06037101222","296512","0",,,1036,83.63636,948,75,873,90.30303,42.42424,104.2424,2564,282,2282,240.6061,166.6667,323.6364,14,0,14,15.75758,8.484848,15.75758,35,13,22,28.48485,13.93939,23.0303,1212,217,995,246.6667,158.1818,219.3939,1291,65,1226,235.1515,53.33333,241.2121
"ACSSF","ca","140","00",,,,"06","037",,,"101300",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06037101300","Census Tract 1013",,,"Census Tract 1013, Los Angeles County, California","06037101300","2580478","0",,,1564,86.66666,1513,1197,316,97.57576,95.15151,61.81818,4165,3295,870,284.8485,284.8485,196.9697,0,0,0,8.484848,8.484848,8.484848,243,218,25,66.66666,62.42424,24.24242,3098,2614,484,309.0909,299.394,130.9091,632,440,192,96.36364,105.4545,90.90909
"ACSSF","ca","140","00",,,,"06","037",,,"101400",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06037101400","Census Tract 1014",,,"Census Tract 1014, Los Angeles County, California","06037101400","6310056","0",,,1523,103.6364,1336,970,366,122.4242,113.3333,84.84849,3463,2838,625,318.1818,333.9394,149.697,46,46,0,46.06061,46.06061,8.484848,325,325,0,37.57576,37.57576,8.484848,2268,1673,595,241.2121,281.8182,149.697,516,495,21,93.33334,96.36364,20
"ACSSF","ca","140","00",,,,"06","037",,,"102103",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06037102103","Census Tract 1021.03",,,"Census Tract 1021.03, Los Angeles County, California","06037102103","1186489","0",,,821,66.66666,714,415,299,70.90909,48.48485,74.54546,2054,1230,824,318.1818,183.0303,287.8788,18,18,0,20.60606,20.60606,8.484848,235,126,109,106.0606,66.06061,83.63636,1692,977,715,311.5151,190.303,279.394,90,90,0,44.84848,44.84848,8.484848
"ACSSF","ca","140","00",,,,"06","037",,,"102104",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06037102104","Census Tract 1021.04",,,"Census Tract 1021.04, Los Angeles County, California","06037102104","1658823","0",,,1418,77.57576,1299,998,301,90.90909,101.8182,64.24242,3828,2819,1009,338.7879,373.9394,209.0909,39,34,5,25.45455,24.24242,8.484848,355,225,130,117.5758,80,93.93939,2949,2218,731,343.6364,364.2424,202.4242,442,299,143,95.15151,94.54546,72.12122
"ACSSF","ca","140","00",,,,"06","037",,,"102105",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US06037102105","Census Tract 1021.05",,,"Census Tract 1021.05, Los Angeles County, California","06037102105","492761","0",,,561,49.69697,518,305,213,56.36364,52.72727,36.36364,1664,1056,608,201.8182,195.7576,113.3333,0,0,0,8.484848,8.484848,8.484848,206,128,78,63.63636,52.72727,38.78788,267,194,73,69.09091,59.39394,41.81818,1118,717,401,202.4242,198.1818,107.2727
